id;name;national_id;gender;birth;phone;created_by;new_patient;medical_id;last_modified_date
1;戈雅玲;W407788271;FEMALE;1954-04-02;0909350191;system;True;00001;2019-08-06 02:43:50.446923+00
2;水家瑋;U313580791;OTHER;1952-08-02;0974724441;system;True;00002;2019-08-06 02:43:50.446923+00
3;厙雅萍;H788210834;FEMALE;1928-03-09;0901056376;system;False;00003;2019-08-06 02:43:50.446923+00
4;郭美琪;O101179018;OTHER;1989-11-18;0914872710;system;True;00004;2019-08-06 02:43:50.446923+00
5;東雅萍;C940431522;FEMALE;1931-04-15;0937106103;system;False;00005;2019-08-06 02:43:50.446923+00
6;周雅文;V223850345;FEMALE;2007-10-08;0946105337;system;False;00006;2019-08-06 02:43:50.446923+00
7;郗淑貞;L497203106;MALE;2013-10-24;0996071592;system;True;00007;2019-08-06 02:43:50.446923+00
8;費雅文;M393810841;OTHER;2013-06-30;0936605010;system;False;00008;2019-08-06 02:43:50.446923+00
9;衡佳蓉;R325169841;OTHER;1927-02-13;0915201281;system;True;00009;2019-08-06 02:43:50.446923+00
10;梁詩涵;H111299210;FEMALE;1946-02-16;0952048110;system;False;00010;2019-08-06 02:43:50.446923+00
11;戴信宏;G280490791;OTHER;1931-11-09;0954312005;system;True;00011;2019-08-06 02:43:50.446923+00
12;農嘉玲;C109823746;MALE;1951-01-29;0943258116;system;True;00012;2019-08-06 02:43:50.446923+00
13;榮嘉玲;N838041321;FEMALE;1931-04-21;0967439921;system;False;00013;2019-08-06 02:43:50.446923+00
14;冉威廷;F030109854;MALE;1905-08-12;0981553963;system;True;00014;2019-08-06 02:43:50.446923+00
15;宓傑克;J715176979;MALE;2016-09-24;0910959775;system;True;00015;2019-08-06 02:43:50.446923+00
16;熊淑慧;V580990744;MALE;1965-03-28;0951405818;system;True;00016;2019-08-06 02:43:50.446923+00
17;歐信宏;A620410480;FEMALE;1981-01-26;0959516971;system;False;00017;2019-08-06 02:43:50.446923+00
18;牧慧君;O717240109;OTHER;2004-06-04;0934460104;system;True;00018;2019-08-06 02:43:50.446923+00
19;冀建宏;J823988955;FEMALE;1992-06-18;0988103319;system;False;00019;2019-08-06 02:43:50.446923+00
20;穆飛;G105913215;OTHER;1990-05-21;0908253631;system;False;00020;2019-08-06 02:43:50.446923+00
21;富怡安;U392871010;OTHER;1966-05-28;0912410810;system;False;00021;2019-08-06 02:43:50.446923+00
22;益柏翰;A294010315;FEMALE;1944-12-01;0984702534;system;True;00022;2019-08-06 02:43:50.446923+00
23;沈家瑋;T105914038;OTHER;1991-12-29;0962331905;system;False;00023;2019-08-06 02:43:50.446923+00
24;陽傑克;S082461310;OTHER;1905-12-20;0964120871;system;True;00024;2019-08-06 02:43:50.446923+00
25;黎家豪;Z698477335;MALE;1927-02-26;0966910851;system;True;00025;2019-08-06 02:43:50.446923+00
26;包怡萱;G408963712;OTHER;1915-10-07;0991012477;system;False;00026;2019-08-06 02:43:50.446923+00
27;從心怡;H210424015;OTHER;1904-03-01;0943280528;system;True;00027;2019-08-06 02:43:50.446923+00
28;薛惠如;X597108310;OTHER;1908-07-04;0941991081;system;True;00028;2019-08-06 02:43:50.446923+00
29;徐俊傑;L010996687;FEMALE;1999-11-07;0947241012;system;True;00029;2019-08-06 02:43:50.446923+00
30;曹雅筑;V001202125;OTHER;1987-10-21;0940588862;system;False;00030;2019-08-06 02:43:50.446923+00
31;柏雅惠;J106277507;MALE;1991-05-20;0909104810;system;False;00031;2019-08-06 02:43:50.446923+00
32;豐哲瑋;R207391019;MALE;1970-11-18;0910591766;system;False;00032;2019-08-06 02:43:50.446923+00
33;殳羽;O939089311;MALE;1952-09-21;0926310921;system;False;00033;2019-08-06 02:43:50.446923+00
34;明家瑋;V383781732;FEMALE;1907-10-13;0969101030;system;True;00034;2019-08-06 02:43:50.446923+00
35;聶鈺婷;A755678105;OTHER;1979-09-08;0917435909;system;True;00035;2019-08-06 02:43:50.446923+00
36;蘇雅文;Z663278271;OTHER;2006-01-10;0916398910;system;False;00036;2019-08-06 02:43:50.446923+00
37;邴佳蓉;S584118807;FEMALE;1923-02-06;0907438579;system;True;00037;2019-08-06 02:43:50.446923+00
38;蓬佩君;X495047715;MALE;2002-09-13;0926898678;system;True;00038;2019-08-06 02:43:50.446923+00
39;魚志偉;G131031482;FEMALE;1946-06-06;0931067431;system;False;00039;2019-08-06 02:43:50.446923+00
40;戈雅玲;I614998110;MALE;2016-10-06;0941366186;system;False;00040;2019-08-06 02:43:50.446923+00
41;樂婉婷;R055485110;MALE;1925-05-09;0942104039;system;False;00041;2019-08-06 02:43:50.446923+00
42;鹹佳穎;Q316012331;MALE;1932-11-18;0957910160;system;True;00042;2019-08-06 02:43:50.446923+00
43;羊建宏;S402104811;OTHER;2011-02-02;0966992099;system;False;00043;2019-08-06 02:43:50.446923+00
44;寇家銘;D283421188;FEMALE;1926-12-06;0941065316;system;True;00044;2019-08-06 02:43:50.446923+00
45;閔哲瑋;J174166676;FEMALE;1938-08-18;0911137174;system;True;00045;2019-08-06 02:43:50.446923+00
46;淳于龍;B846155373;FEMALE;1913-04-10;0924101085;system;True;00046;2019-08-06 02:43:50.446923+00
47;雙雅文;R166382561;MALE;1931-11-17;0940900204;system;False;00047;2019-08-06 02:43:50.446923+00
48;秋淑玲;E918503560;MALE;2003-02-04;0947151409;system;False;00048;2019-08-06 02:43:50.446923+00
49;暴龍;G331823188;OTHER;2010-10-17;0994456413;system;False;00049;2019-08-06 02:43:50.446923+00
50;冉欣怡;I521780020;FEMALE;1928-10-07;0970679264;system;True;00050;2019-08-06 02:43:50.446923+00
51;郝婷婷;R374108457;MALE;1934-02-03;0912465537;system;True;00051;2019-08-06 02:43:50.446923+00
52;仲懿;H410324283;OTHER;1942-08-25;0949824946;system;False;00052;2019-08-06 02:43:50.446923+00
53;蔣淑玲;Q673040410;OTHER;1978-08-11;0910110870;system;True;00053;2019-08-06 02:43:50.446923+00
54;管佳玲;S809108109;FEMALE;2011-04-18;0903055377;system;True;00054;2019-08-06 02:43:50.446923+00
55;蔚雅琪;D947141993;OTHER;1991-12-02;0914104710;system;True;00055;2019-08-06 02:43:50.446923+00
56;貝志偉;B160719648;OTHER;1921-12-15;0999591144;system;True;00056;2019-08-06 02:43:50.446923+00
57;師詩婷;T499896968;FEMALE;1979-01-27;0967100236;system;True;00057;2019-08-06 02:43:50.446923+00
58;班雅琪;K200610346;OTHER;1978-02-18;0999188526;system;True;00058;2019-08-06 02:43:50.446923+00
59;婁筱涵;I145697453;OTHER;2012-02-19;0974315910;system;True;00059;2019-08-06 02:43:50.446923+00
60;桑怡如;J448457110;MALE;2010-03-18;0901018423;system;True;00060;2019-08-06 02:43:50.446923+00
61;柴志豪;A016923761;MALE;2002-07-13;0946900272;system;False;00061;2019-08-06 02:43:50.446923+00
62;柴筱涵;O921447610;FEMALE;1943-10-13;0990161506;system;False;00062;2019-08-06 02:43:50.446923+00
63;梁雅筑;R410658055;MALE;1981-11-07;0933233474;system;False;00063;2019-08-06 02:43:50.446923+00
64;苗傑克;X105431016;MALE;1909-02-01;0901041734;system;False;00064;2019-08-06 02:43:50.446923+00
