id;name;national_id;gender;birth;phone;created_by;new_patient
1;Joseph Nelson;W407788271;FEMALE;1954-04-02;0909350191;system;True
2;Diane Olson;U313580791;OTHER;1952-08-02;0974724441;system;True
3;Carl Martinez;H788210834;FEMALE;1928-03-09;0901056376;system;False
4;Pamela Farmer;O101179018;OTHER;1989-11-18;0914872710;system;True
5;Stephanie Lowe;C940431522;FEMALE;1931-04-15;0937106103;system;False
6;Patrick Howard;V223850345;FEMALE;2007-10-08;0946105337;system;False
7;Jennifer Brooks;L497203106;MALE;2013-10-24;0996071592;system;True
8;Joshua Sanchez;M393810841;OTHER;2013-06-30;0936605010;system;False
9;Bryce Sutton;R325169841;OTHER;1927-02-13;0915201281;system;True
10;Mary Hogan;H111299210;FEMALE;1946-02-16;0952048110;system;False
11;Steven Weaver;G280490791;OTHER;1931-11-09;0954312005;system;True
12;Evan Hardin;C109823746;MALE;1951-01-29;0943258116;system;True
13;Lisa Rivera;N838041321;FEMALE;1931-04-21;0967439921;system;False
14;Steve Henry;F030109854;MALE;1905-08-12;0981553963;system;True
15;Gloria Mendez;J715176979;MALE;2016-09-24;0910959775;system;True
16;James Martinez;V580990744;MALE;1965-03-28;0951405818;system;True
17;Isaac Freeman;A620410480;FEMALE;1981-01-26;0959516971;system;False
18;Tammy Cook;O717240109;OTHER;2004-06-04;0934460104;system;True
19;Keith Murray;J823988955;FEMALE;1992-06-18;0988103319;system;False
20;Daniel Francis;G105913215;OTHER;1990-05-21;0908253631;system;False
21;Wendy Yates;U392871010;OTHER;1966-05-28;0912410810;system;False
22;Joseph Stewart;A294010315;FEMALE;1944-12-01;0984702534;system;True
23;James Martinez;T105914038;OTHER;1991-12-29;0962331905;system;False
24;Jacqueline Scott;S082461310;OTHER;1905-12-20;0964120871;system;True
25;Katelyn Lee;Z698477335;MALE;1927-02-26;0966910851;system;True
26;Michele Smith;G408963712;OTHER;1915-10-07;0991012477;system;False
27;Janet Miller MD;H210424015;OTHER;1904-03-01;0943280528;system;True
28;James Lamb;X597108310;OTHER;1908-07-04;0941991081;system;True
29;Arthur Thompson;L010996687;FEMALE;1999-11-07;0947241012;system;True
30;Kelly Cook;V001202125;OTHER;1987-10-21;0940588862;system;False
31;Erin Oliver;J106277507;MALE;1991-05-20;0909104810;system;False
32;Jennifer Hansen;R207391019;MALE;1970-11-18;0910591766;system;False
33;Anna Whitaker;O939089311;MALE;1952-09-21;0926310921;system;False
34;Lindsey Adams;V383781732;FEMALE;1907-10-13;0969101030;system;True
35;Sue Walker;A755678105;OTHER;1979-09-08;0917435909;system;True
36;Martin Blake;Z663278271;OTHER;2006-01-10;0916398910;system;False
37;Shane Ross;S584118807;FEMALE;1923-02-06;0907438579;system;True
38;Alexandra Dunn;X495047715;MALE;2002-09-13;0926898678;system;True
39;Daniel Jensen;G131031482;FEMALE;1946-06-06;0931067431;system;False
40;Tiffany Dixon;I614998110;MALE;2016-10-06;0941366186;system;False
41;William Johnson;R055485110;MALE;1925-05-09;0942104039;system;False
42;Teresa Atkins;Q316012331;MALE;1932-11-18;0957910160;system;True
43;Karen Wong;S402104811;OTHER;2011-02-02;0966992099;system;False
44;Miguel Knox;D283421188;FEMALE;1926-12-06;0941065316;system;True
45;Seth Vaughan;J174166676;FEMALE;1938-08-18;0911137174;system;True
46;Timothy Warren;B846155373;FEMALE;1913-04-10;0924101085;system;True
